eventID,DescriptionEN
Retrieve Customer Mutations,Retrieve Customer Mutations
Retrieve Customers,Retrieve Customers
Retrieve Customers,Retrieve Customers
Retrieve Energy Community,Retrieve Energy Community
Retrieve Energy Community,Retrieve Energy Community
Retrieve Exchange Point,Retrieve Exchange Point
Retrieve Exchange Point,Retrieve Exchange Point
Retrieve Grid Agreement,Retrieve Grid Agreement
Retrieve Grid Agreement,Retrieve Grid Agreement
Retrieve Grid Agreement History,Retrieve Grid Agreement History
Retrieve Grid Agreement History,Retrieve Grid Agreement History
'Retrieve History','Retrieve History'
'Retrieve History','Retrieve History'
Retrieve LOT Acknowledgement,Retrieve LOT Acknowledgement
Retrieve LOT view info,Retrieve LOT view info
Retrieve LOT view info,Retrieve LOT view info
Retrieve Market Balance Area,Retrieve Market Balance Area
Retrieve Message Delegation,Retrieve Message Delegation
Retrieve Message Delegation,Retrieve Message Delegation
Retrieve Metering Grid Area,Retrieve Metering Grid Area
Retrieve Metering Grid Area,Retrieve Metering Grid Area
Retrieve Metering Point,Retrieve Metering Point
Retrieve Metering Point,Retrieve Metering Point
Retrieve Metering Point Authorisation,Retrieve Metering Point Authorisation
Retrieve Metering Point Authorisation,Retrieve Metering Point Authorisation
Retrieve Metering Point Authorisation EXP,Retrieve Metering Point Authorisation EXP
Retrieve Metering Point Authorisation EXP,Retrieve Metering Point Authorisation EXP
Retrieve Organisation,Retrieve Organisation
Retrieve Organisation,Retrieve Organisation
Retrieve Organisation Address,Retrieve Organisation Address
Retrieve Organisation Address,Retrieve Organisation Address
Retrieve Organisation Contact,Retrieve Organisation Contact
Retrieve Organisation Contact,Retrieve Organisation Contact
Retrieve Organisations,Retrieve Organisations
Retrieve Organisations,Retrieve Organisations
Retrieve Party Authorisation,Retrieve Party Authorisation
Retrieve Party Authorisation,Retrieve Party Authorisation
Retrieve Personal Info,Retrieve Personal Info
Retrieve Personal Info,Retrieve Personal Info
Retrieve Portal User Identity,Retrieve Portal User Identity
Retrieve Portal User Identity,Retrieve Portal User Identity
Retrieve Price Information,Retrieve Price Information
Retrieve Price Information,Retrieve Price Information
Retrieve Product,Retrieve Product
Retrieve Product,Retrieve Product
Retrieve Production Unit,Retrieve Production Unit
Retrieve Production Unit,Retrieve Production Unit
Retrieve ProductionUnit,Retrieve ProductionUnit
Retrieve ProductionUnit,Retrieve ProductionUnit
Retrieve Report Run,Retrieve Report Run
Retrieve Report Run,Retrieve Report Run
Retrieve Sales Agreement,Retrieve Sales Agreement
Retrieve Sales Agreement,Retrieve Sales Agreement
Retrieve Sales Agreement History,Retrieve Sales Agreement History
Retrieve Sales Agreement History,Retrieve Sales Agreement History
Retrieve Scheduled Job,Retrieve Scheduled Job
Retrieve Scheduled Job Parameter,Retrieve Scheduled Job Parameter
Retrieve Sent Email,Retrieve Sent Email
Retrieve Sent Email,Retrieve Sent Email
Retrieve System User Identity,Retrieve System User Identity
Retrieve System User Identity,Retrieve System User Identity
Retrieve Time Series,Retrieve Time Series
Retrieve Time Series,Retrieve Time Series
Retrieve User Role,Retrieve User Role
RetrieveAuthorisationData,RetrieveAuthorisationData
RetrieveAuthorisationData,RetrieveAuthorisationData
RetrieveBusinessMessages,RetrieveBusinessMessages
RetrieveBusinessMessages,RetrieveBusinessMessages
RetrieveConfigurationParameter,RetrieveConfigurationParameter
